key,passportCountry,destinationCountry,continent,capital,currency,phoneCode,timezone,visaType,stayDuration,passportValidity,additionalInfo,officialLink
#base entity
visa-requirement-01,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
#passportCountry - standard variations
visa-requirement-02,L,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-03,Lo,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-04,"Lorem ipsum dolor sit amet, consectetur adipiscin",Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-05,"Lorem ipsum dolor sit amet, consectetur adipiscing",Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-06,โลเร็ม อิปซัม,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-07,لوريم إيبسوم,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-08,洛伦·伊普森,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-09,<marquee>Hacked</marquee>,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-10,<script>alert(‘Hacked!’);</script>,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-11,' or 'A' = 'A,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
#passportCountry - no singular values
#destinationCountry - standard variations
visa-requirement-12,Lorem ipsum dolor sit ame,L,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-13,Lorem ipsum dolor sit ame,Lo,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-14,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscin",Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-15,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing",Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-16,Lorem ipsum dolor sit ame,โลเร็ม อิปซัม,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-17,Lorem ipsum dolor sit ame,لوريم إيبسوم,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
